,FAM,RWC,CWD,elevation_std,elevation_mean,ppt_sum,location,aspect_mean,aspect_std,vsm_sum,canopy_height,EVP_win,twi_mean
221,0.0010598623236,0.980285812564,1061.75062162,134.537751809,451.002222222,6.38888888889,113,177.321380388,100.202456654,0.105639285714,16.68,113.4365,388.646677472
222,0.000662414000449,0.647773184471,1169.60633333,134.537751809,451.002222222,3.94444444444,113,177.321380388,100.202456654,0.102538983051,16.68,73.40525,388.646677472
223,0.000529931161801,0.839657942185,1059.31445714,134.537751809,451.002222222,1.13888888889,113,177.321380388,100.202456654,0.105768965517,16.68,134.781,388.646677472
224,0.00803287997679,0.553530557125,734.462052632,424.872838963,1172.47333333,4.11111111111,117,194.752037542,99.4474083544,0.159487142857,22.48,84.25,342.1636953
225,0.0101236295458,0.977608675357,612.732222222,424.872838963,1172.47333333,0.0833333333333,117,194.752037542,99.4474083544,0.164804347826,22.48,76.549,342.1636953
226,0.0273998234333,0.883293701862,541.0665,424.872838963,1172.47333333,5.22222222222,117,194.752037542,99.4474083544,0.164407462687,22.48,66.0095,342.1636953
227,0.0155155626177,0.932186142205,817.432290323,424.872838963,1172.47333333,0.527777777778,117,194.752037542,99.4474083544,0.154505454545,22.48,63.72575,342.1636953
228,0.0115541420042,0.650660235761,911.453179487,424.872838963,1172.47333333,8.38888888889,117,194.752037542,99.4474083544,0.158791803279,22.48,74.5755,342.1636953
229,0.0122143786023,0.50837277402,1036.08238235,424.872838963,1172.47333333,21.4166666667,117,194.752037542,99.4474083544,0.159198333333,22.48,65.39425,342.1636953
230,0.316473467435,0.0764286937351,1034.68211111,424.872838963,1172.47333333,20.4166666667,117,194.752037542,99.4474083544,0.151083870968,22.48,95.613,342.1636953
231,0.0140150302754,0.611654713872,651.013285714,434.826075454,2329.97222222,8.25,118,197.803633666,97.0354356653,0.159130434783,28.72,53.79775,344.282926829
232,0.016542330852,0.966844877242,494.624404762,434.826075454,2329.97222222,1.77777777778,118,197.803633666,97.0354356653,0.169575,28.72,51.23925,344.282926829
233,0.0572088964253,0.764095543373,382.750857143,434.826075454,2329.97222222,30.6388888889,118,197.803633666,97.0354356653,0.166612121212,28.72,45.68,344.282926829
234,0.0303276069185,0.7875089194,758.495904762,434.826075454,2329.97222222,3.5,118,197.803633666,97.0354356653,0.16087037037,28.72,41.71225,344.282926829
235,0.0209076693786,0.506061184774,783.626571429,434.826075454,2329.97222222,18.0277777778,118,197.803633666,97.0354356653,0.172190163934,28.72,51.561,344.282926829
